Program no,Name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data Size,Speed_up,,,Feature Ranking,
134,intel bitsonic ,6,8,5,7,6,5,7,6,5,5,6,5,7,5,5,7,10,9,26,8,27,5,5,65536,3.1036717062635,,,,
98,Corrrelation polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,128,2.12335526315789,,,,
97,BICG polybench ,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,13000,1.1250977326036,,,,
103,covariance polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,2.35992578849722,,,,
65,mvt polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,1.84247787610619,,,,
82,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,1024,1.41479099678457,,,,
140,GEMM Intel,1,3,0,2,1,0,2,1,0,0,1,0,2,0,0,2,5,4,21,3,22,0,0,1024,1.41509433962264,,,,
62,gesummv polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,8192,1.04851991987536,,,,
126,syrk polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,2.97883597883598,,,,
116,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,1024,1.08091306459446,,,,
84,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,4096,1.21731526016616,,,,
114,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,128,2.20039292730845,,,,
71,Atax polybnech ,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,1.76360225140713,,,,
47,Matrix Transpose amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,8192,1.02131678359417,,,,
120,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,2.40220385674931,,,,
85,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,8192,1.1402390438247,,,,
22,Bitonic SortDP  amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,4194304,1.34644887887566,,,,
33,Fast Walsh Transform amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,268435456,1.74350882497449,,,,
112,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,4096,6.11577062876363,,,,
48,3mm polybench ,3,18,0,9,3,0,6,3,0,0,9,0,6,0,0,3,6,21,75,10,183,0,0,256,1.07539267015707,,,,
